	Term_NDoc_Date	Sentence	Frame
400	18_120_2015-09-09	Wir müssen aber, um dies sinnvoll und effizient zu gestalten, auch dafür sorgen, dass wir schnellere Asylverfahren bekommen.	x
401	18_120_2015-09-09	Ich will all das unterstreichen, was zur Bekämpfung der Fluchtursachen gesagt wurde.	x
402	18_120_2015-09-09	Ich denke an das Thema Integrationskurse, für die wir mehr Plätze brauchen, weil es schon jetzt ein Rekordinteresse an diesen Plätzen gibt.	x
403	18_120_2015-09-09	Ich bin auch der Meinung, dass wir uns bei den Beratungen im Haushaltsausschuss noch einmal genau anschauen sollten, ob wir nicht noch mehr tun können, ob wir nicht noch entschiedener vorgehen können gegen die Schleuserbanden, gegen diese Schlepperorganisationen und ob wir das Bundeskriminalamt an dieser Stelle nicht etwas besser ausstatten.	x
404	18_120_2015-09-09	Gute Entwicklungszusammenarbeit ist vor allem dann gegeben, wenn sie Menschen Lebensperspektiven in ihrer Heimat gibt und somit Fluchtursachen minimiert werden können.	x
405	18_120_2015-09-09	Flucht, Asyl und Integration von Menschen, die zu uns kommen und dann nach der Anerkennung eine Chance haben sollen, über Arbeit, Soziales sozusagen voll in diese Gesellschaft aufgenommen zu werden und Teil dieser Gesellschaft zu werden.	1.6
406	18_120_2015-09-09	Aus dieser ökonomischen Stärke – die korrespondiert mit den Zahlen des Bundeshaushalts – erwächst eine besondere Verantwortung Deutschlands – nicht Deutschlands allein –, die Integration der Menschen positiv zu befördern.	x
407	18_120_2015-09-09	Mir tut es im Herzen und im Glauben weh, dass die Staatschefs aus Polen, der Slowakei, aus Tschechien und Ungarn, die sich am letzten Freitag in Prag getroffen haben, im Brustton der Überzeugung sagen, sie wollen sich an dieser Integrationsarbeit nicht beteiligen.	x
408	18_120_2015-09-09	Gerade die Flucht-, Asyl- und Integrationsfragen, Frau Präsidentin, können nur gelöst werden, indem wir in Deutschland Milliarden von privatem Kapital mit öffentlicher Unterstützung für sozialen Wohnungsbau verwenden, der sich an den Bedürfnissen der Menschen orientiert, egal ob die Menschen hier schon lange leben oder jetzt kommen.	x
409	18_120_2015-09-09	Das ist vor allen Dingen auch eine kulturpolitische Herausforderung, zunächst einmal, weil kulturelle Teilhabe eine grundlegende Voraussetzung dafür ist, dass Zuwanderer in der Fremde ihre neue Umgebung verstehen und dass auch sie hier verstanden werden, weil kulturelle Teilhabe eben auch gesellschaftliche Teilhabe ist, aber auch, weil die diffuse Angst vor den Fremden, wie  Ewald Schurer  Deutscher Bundestag – 18.	x
410	18_120_2015-09-09	Ich begrüße daher ausdrücklich die Initiativen aus dem kulturellen Bereich unterschiedlicher Art und Weise wie zum Beispiel die des deutschen Buchhandels zur Unterstützung der kulturellen Angebote insbesondere für Asylsuchende und Flüchtlinge, die unter der Schirmherrschaft von Navid Kermani steht.	1.6
411	18_120_2015-09-09	Die Staatsministerin hat gesagt, dass wir Projekte und Initiativen stärken müssen, die sich mit der kulturellen Einbindung von Migranten beschäftigen.	1.6
412	18_120_2015-09-09	Meine Damen und Herren, aber auch bei der Bewältigung der Fluchtursachen ist eine weitere europäische Komponente gefordert.	x
413	18_120_2015-09-09	Dies ist ein entscheidender Beitrag, Fluchtursachen zu verhindern.	x
414	18_120_2015-09-09	Wenn es darum geht, Fluchtursachen zu beseitigen, ist es meines Erachtens entscheidend, für eine Entwicklung in Libyen hin zur Stabilität zu sorgen.	x
415	18_120_2015-09-09	Wenn wir über Fluchtursachen sprechen, müssen wir natürlich auch einen vernetzten Ansatz im Blick haben.	x
416	18_120_2015-09-09	Sie haben vorhin über die Mission gesprochen, die die Europäische Union verabredet hat, um gegen die sogenannten Schlepper militärisch vorzugehen.	x
417	18_120_2015-09-09	Sie sprachen davon, Schlepperbanden würden unter Inkaufnahme des Todes ihr Geld machen.	2.5
418	18_120_2015-09-09	Auch das hat etwas mit dem Thema „Beseitigung von Fluchtursachen“ zu tun.	x
419	18_120_2015-09-09	Ich möchte allen Soldatinnen und Soldaten herzlich danken, die einen Beitrag zur Ausbildung im Irak, zu einem wirkungsvollen Entgegentreten gegen den ISIS-Terror und somit zur Beseitigung von Fluchtursachen leisten.	x
420	18_120_2015-09-09	Man darf aber nicht verkennen, dass es die Bürgerinnen und Bürger zurzeit als besonders wichtig und notwendig ansehen, einen Beitrag zur Beseitigung der Fluchtursachen zu leisten.	2.3
421	18_120_2015-09-09	Kolleginnen und Kollegen, alle sprechen jetzt darüber, dass es darum gehen muss, Fluchtursachen zu beseitigen.	x
422	18_120_2015-09-09	Da geht es auch um die Beseitigung von Fluchtursachen.	x
423	18_120_2015-09-09	Die Bekämpfung der Fluchtursachen ist das Ziel der Bundesregierung.	x
