	Term_NDoc_Date	Sentence	Frame
150	18_103_2015-05-07	Ich denke, Europa braucht keine Rechtsform, die anfällig für Missbrauch – Geldwäsche, Steuerhinterziehung und möglicherweise auch Terrorismusfinanzierung – ist, sondern eine Rechtsform, die sich letztendlich auf Rechtssicherheit und Rechtsklarheit stützt.	x
151	18_103_2015-05-07	Ich erinnere an Emigranten wie Willy Brandt, die damals übrigens in der Politik als Landesverräter beschimpft wurden, und insbesondere Willy Brandts großartige Geste, den Kniefall im Warschauer Ghetto.	1.2
152	18_103_2015-05-07	Wir wollen beispielsweise die Weiterentwicklung von Integrationsunternehmen zu Inklusionsunternehmen quantitativ, aber auch qualitativ fördern.	3
153	18_103_2015-05-07	Wir brauchen ein inklusives Bildungssystem und einen inklusiven Arbeitsmarkt und keine Abschiebung in Sonderwelten, wie zum Beispiel in Werkstätten oder Sonderschulen.	x
154	18_103_2015-05-07	Wir möchten die Integrationsbetriebe viel stärker ausbauen und den Menschen die Gelegenheit geben, sozialversicherungspflichtig und mindestlohnrelevant auf dem ersten Arbeitsmarkt tätig zu werden.	3
155	18_103_2015-05-07	Es gibt Integrationsfirmen, und es gibt das Budget für Arbeit, das in vielen Bundesländern in Anspruch genommen werden kann.	3
156	18_103_2015-05-07	Wie Sie wissen, ist die Pazifik-Allianz eine Initiative der Staaten Peru, Mexiko, Chile und Kolumbien, welche sich im Bereich Handel und Integration und bei der Entwicklung stabiler demokratischer Strukturen unterstützen.	x
157	18_103_2015-05-07	Diese Entwicklung ist das Ergebnis des erfolgreichen Integrationsprozesses in Lateinamerika, der in den vergangenen zehn Jahren von linken Regierungen vorangetrieben worden ist.	x
158	18_110_2015-06-12	Der Zweck heiligt nicht die Mittel, auch nicht im Kampf gegen den internationalen Terrorismus.	4
159	18_110_2015-06-12	Unsere Antwort auf die Bedrohung durch den internationalen Terrorismus, die es in der Tat gibt, kann nur lauten: mehr Freiheit, mehr Rechtsstaat, mehr Demokratie.	x
160	18_110_2015-06-12	Ich nehme kein Beispiel aus dem Bereich des Terrorismus, der Kinderpornografie und auch nicht der Vergewaltigung, sondern ich nehme ein sehr praktisches Beispiel.	x
161	18_110_2015-06-12	Berlin, Freitag, den 12. Juni 2015 10601  Dr. Volker Ullrich  (A) (C)  (D)(B) Kinderpornografie, Terrorismus und organisierte Kriminalität –.	x
162	18_110_2015-06-12	Ein anderer, noch sehr viel gefährlicherer ist der Krieg gegen die Schlepper.	2.2
163	18_110_2015-06-12	Im Chinesischen Meer versucht man eine Militarisierung des Vorgehens gegen Schlepperbanden und geht damit letzten Endes wie gegen Piraten vor.	x
164	18_110_2015-06-12	Jetzt werden wir durch freundliche Briefe des Außenministers und der Verteidigungsministerin darauf hingewiesen, dass es zunächst um die erste Phase gehe, nämlich die Informationsgewinnung bezüglich der Schlepperbanden.	x
165	18_110_2015-06-12	Deutschland und Europa stehen vor der größten Herausforderung im Bereich der Asylpolitik seit den 90er-Jahren.	x
166	18_110_2015-06-12	Meine Damen und Herren, bisher ist es uns, wie auch der Vorredner deutlich gemacht hat, nicht gelungen, ein einheitliches Asylsystem in Europa zu implementieren.	2
167	18_110_2015-06-12	Drei Viertel aller Asylverfahren in 2014 entfallen auf nur fünf EU-Mitgliedstaaten, allen voran Deutschland.	4
168	18_110_2015-06-12	Das würde unser Asylsystem und vor allem auch die Willkommenskultur in Deutschland und in ganz Europa gefährden.	4
169	18_110_2015-06-12	Ein weiterer Schwerpunkt liegt bei der Bekämpfung der kriminellen Schlepperbanden.	2.2
170	18_110_2015-06-12	Je mehr Menschen wir retten, desto einfacher machen wir es eben auch den Schleppern.	2.2
171	18_110_2015-06-12	Gleichzeitig aber ist es notwendig, die Schlepperbanden zu bekämpfen.	2.2
172	18_110_2015-06-12	Dazu zählt auch die Zerstörung der Schlepperboote, die Zerstörung der Werkzeuge dieser Schlepper, wenn es völkerrechtlich möglich ist.	2.2
173	18_110_2015-06-12	Nur so ist es möglich, auch die Fluchtursachen zu bekämpfen.	2.1
174	18_110_2015-06-12	Staatssekretär beim Bundesminister des Innern:  Herr Trittin, wir sind uns doch darüber einig, dass es notwendig ist, die Schlepperbanden zu bekämpfen.	2.2
175	18_110_2015-06-12	Ich habe manchmal, wenn ich mir Reden von Mitgliedern Ihrer Fraktion anhöre, das Gefühl, dass Sie die Schlepper mittlerweile als eine humanitäre Organisation ansehen.	2.2
