	Term_NDoc_Date	Sentence	Frame
650	18_127_2015-10-01	Dazu zählt, dass für diejenigen, die nicht ausreisen, die aber vollziehbar ausreisepflichtig sind, kein Anspruch mehr auf Asylbewerberleistungen besteht.	
651	18_127_2015-10-01	Ein zentraler, wichtiger Baustein dieses großen Pakets ist die Beschleunigung der Asylverfahren.	
652	18_127_2015-10-01	Jetzt werden die Prozesse in den Asylverfahren nochmals verbessert.	
653	18_127_2015-10-01	Dort lie­ gen die Voraussetzungen für Asyl nur in wenigen Ein­ zelfällen vor.	
654	18_127_2015-10-01	Dafür schaffen wir le­ gale Zuwanderungsmöglichkeiten für Menschen aus den Balkanstaaten – unter bestimmten Voraussetzungen.	
655	18_127_2015-10-01	Wem in unserem Land ein Asylantrag abgelehnt worden ist, der muss, wenn es sonst keinen Grund für Duldung gibt, unser Land verlassen.	
656	18_127_2015-10-01	Hilfe vor Ort in den Flüchtlingslagern, Hartz IV, Kosten für das Bundesamt für Migration und Flüchtlinge, Kosten für die Bundespolizei, Integrations­ kurse – viele Aufgaben, die auch der Bund zusätzlich zu lösen hat.	
657	18_127_2015-10-01	Und dennoch: Der Bund beteiligt sich dauer­  haft, strukturell und dynamisch an den Kosten, die durch die Aufnahme von Asylbewerbern in Ländern und Kom­ munen entstehen.	
658	18_127_2015-10-01	Längere Asyl­ verfahren gehen dann nicht mehr zulasten der Länder.	
659	18_127_2015-10-01	Mit dem Gesetzespaket bekennen wir uns genauso klar und deutlich zur Aufnahme und Integration derje­ nigen, die schutzwürdig sind und dauerhaft hier bleiben werden.	
660	18_127_2015-10-01	Wir erweitern das Angebot von Sprachkursen.	
661	18_127_2015-10-01	Wir lockern das Leiharbeitsverbot für Asylbewerber.	
662	18_127_2015-10-01	Neben der Spra­ che ist Arbeit der Schlüssel zur Integration.	
663	18_127_2015-10-01	Kolleginnen und Kollegen, Integration hat zwei Richtungen.	
664	18_127_2015-10-01	Wenn wir mit unseren Bürgern über eine Willkommenskultur sprechen, müssen wir von denen, die zu uns kommen, auch eine Anerkennungskultur ein­ fordern.	
