	Term_NDoc_Date	Sentence	Frame
850	18_132_2015-11-04	Die meisten Abschiebungen erfolgten in den Kosovo mit 4 358, nach Serbien mit 2 274, nach Albanien mit 1 369, nach Mazedonien mit 1 016, nach Bosnien-Herzegowina mit 429 sowie in die Russische Föderation mit 350.	
851	18_132_2015-11-04	Die meisten Abschiebungen erfolgten hier nach Serbien mit 2 177, in die Russische Föderation mit 1 326, nach Mazedonien mit 807, in den Kosovo mit 792, nach Albanien mit 521 und nach Bosnien-Herzegowina mit 445.	
852	18_132_2015-11-04	Drei Monate vor Ende dieses Jahres erfolgten damit bereits 2 580 Abschiebungen mehr als im gesamten vergangenen Jahr.	
853	18_132_2015-11-04	Das zeigt zumindest, dass es bei dem Thema „Rück führungen und Abschiebungen“ offensichtlich durchaus ein konsequentes Handeln der Länder gibt.	
854	18_132_2015-11-04	Aber ich kann Ihnen hier nicht umfassend sagen, was die einzelnen Gründe waren, zumal die Abschiebungen durch die Bundesländer durchgeführt werden.	
855	18_132_2015-11-04	Auf welcher Grundlage bezüglich der Abschiebungs- und Rückführungspraxis gegenüber Afghanistan und der Menschenrechtssituation, wo er von innerstaatlichen Fluchtalternativen sprach, hat er sich denn da eingelassen?	
856	18_132_2015-11-04	Der Minister hat sich dazu geäußert – und das teile ich natürlich –, dass wir auch bei Afghanistan die Zahlen der Abschiebungen und hoffentlich auch der freiwilligen Rückreisen deutlich vergrößern müssen, weil auch aus diesem Lande immer mehr zu uns kommen und wir eine Schutzquote von unter 50 Prozent haben.	
857	18_132_2015-11-04	Nur bei den Personen, die den Schutz nicht bekommen, geht es um Rückführungen, nicht bei denjenigen, die in der Tat einen Asylgrund oder Fluchtgrund haben.	
858	18_132_2015-11-04	Aber wie verträgt sich das mit der Behauptung Ihres Ministers, dass es in Afghanistan solche sicheren Häfen gebe, es also innerstaatliche Fluchtalternativen gebe, die man den afghanischen Flüchtlingen im Asylverfahren entgegenhalten könne?	
859	18_132_2015-11-04	Zunächst einmal werden Asylanträge in Deutschland nach einem rechtsstaatlichen Verfahren geprüft.	
860	18_132_2015-11-04	Das führt dazu, dass es eine Reihe von Antragstellern aus Afghanistan gibt, die hier Asyl oder einen Flüchtlingsstatus bekommen.	
861	18_132_2015-11-04	Das bezieht sich aber nur auf diejenigen, bei denen kein Asylgrund festgestellt wird.	
862	18_132_2015-11-04	Es gibt solche Schlepperorganisationen.	
863	18_132_2015-11-04	Alimi Balki, die deutsche Regierung ausdrücklich gebeten hat, keine afghanischen Asylbewerber abzuschieben, sondern mehr afghanische Flüchtlinge aufzunehmen ( vergleiche www.tagesschau.de/ausland/demaiziere-afghanistan-101.html vom 28.	
864	18_132_2015-11-04	In diesem Gesamtergebnis werden auch die entsprechenden CO2-Werte ausgewiesen sein.	
865	18_132_2015-11-04	Der Antrag auf die Verfassungsänderung zur Demarkierung (Ausweisung) von Indigenengebieten (PEC 215) wurde im zuständigen Ausschuss im Unterhaus in Brasilia am 27.	
866	18_132_2015-11-04	Die Bundesregierung prüft zurzeit verschiedene Möglichkeiten zur Verbesserung der Registrierung und Identifizierung der Asylsuchenden, einschließlich eines Nachweises der erfolgten Registrierung.	
867	18_132_2015-11-04	Günter Krings auf die Frage der Abgeordneten Ulla Jelpke (DIE LINKE) (Drucksache 18/6520, Frage 30):  Welche Regionen Afghanistans sind nach Einschätzung der Bundesregierung ausreichend sicher, um abgelehnte Asylsuchende dorthin abzuschieben, ohne dass sie dort einer hohen Gefahr der Verfolgung durch staatliche, internationale oder nichtstaatliche Kräfte (OMF, Warlords usw.) ausgesetzt sind, insbesondere vor dem Hintergrund der kürzlich erfolgten vorübergehenden Einnahme der Stadt Kunduz durch Aufständische sowie wiederholt durchgeführter terroristischer Aktivitäten der Aufständischen in der Hauptstadt Kabul, und wie erklärt sich die Bundesregierung den Widerspruch zwischen der Aussage des Bundesministers des Innern, er sei sich mit der afghanischen Regierung „einig“ darüber, dass Angehörige der afghanischen Mittelschicht nicht nach Deutschland fliehen sollten (Statement des Ministers am  28.	
868	18_132_2015-11-04	Oktober 2015), sowie der Aussage des afghanischen Ministers für Flüchtlingsangelegenheiten, Deutschland solle mehr afghanische Flüchtlinge aufnehmen und keine Asylsuchenden abschieben (Deutsche Welle, 28.	
869	18_135_2015-11-11	Im Gesetzentwurf wird ja als Zweck ausgewiesen, dass es darum geht, die neu hinzukommenden Aufgabengebiete damit abzudecken.	
870	18_135_2015-11-11	Oktober, ein Gespräch des zuständigen Abteilungsleiters des Bundesinnenministeriums mit dem Vizepräsidenten des BAMF – das ja keinen Präsidenten mehr hat – stattgefunden hat mit der Zielrichtung, Asylverfahren von syrischen Flüchtlingen in Zukunft anders zu behandeln als bisher.	
871	18_135_2015-11-11	Anpassungen des Motors in der vom Kraftfahrt-Bundesamt angeordneten Rückrufaktion aufgrund zu niedrig ausgewiesener Stickoxidwerte in Fahrzeugen des Volkswagen-Konzerns eine Neuberechnung der CO2-Emissionen erforderlich machen?	
872	18_135_2015-11-11	Eine Fluchtursache ist natürlich der Krieg.	
873	18_135_2015-11-11	Aber es wäre für uns hochinteressant, von Ihnen die Fluchtursachen ganz klar definiert zu bekommen.	
874	18_135_2015-11-11	Bisher wird immer nur von Fluchtursachen gesprochen, ohne diese zu benennen.	
875	18_135_2015-11-11	Aber wir müssen auch der Tatsache ins Auge schauen, dass Ausbildungsprogramme im Rahmen der Entwicklungshilfe seit 50 Jahren durchgeführt werden und diese offensichtlich doch nicht dazu geführt haben, Fluchtursachen zu bekämpfen.	
876	18_135_2015-11-11	Aus diesem Grund brauche ich Ihnen nicht zu erläutern, dass Fluchtursachen sehr vielfältige Gründe haben.	
877	18_135_2015-11-11	Natürlich ist die Sonderini tiative „Fluchtursachen bekämpfen – Flüchtlinge reintegrieren“ eine der haushalterisch und monetär wichtigsten Maßnahmen, die wir haben.	
878	18_135_2015-11-11	Die meisten fühlten sich sogar ermutigt, zum Beispiel dadurch, dass das von ihnen verhasste Asylrecht damals politisch gekappt wurde.	
879	18_135_2015-11-11	Rassismus und Rechtsextremismus auch nur ansatzweise so gründlich in den Blick genommen, wie es notwendig gewesen wäre.	
880	18_135_2015-11-11	Auch wenn überwiegend Menschen mit Migrationshintergrund unter den Opfern waren – die Taten der Rechtsterroristen sind im Kern auch ein Angriff auf uns als gesamte Gesellschaft, und wir werden parlamentarisch alle Möglichkeiten der Aufklärung nutzen, um dem Terror von rechts entschlossen entgegenzutreten.	
881	18_135_2015-11-11	Dass die Täter aus der rechten Szene kommen und Rassismus das Tatmotiv sein könnte, wurde damals bei den Ermittlungen nicht in Erwägung gezogen.	
882	18_135_2015-11-11	Wir müssen uns fragen, ob wir im Bereich der Bekämpfung des Extremismus und des Terrorismus die Verbindungen zwischen Bund und Ländern noch besser machen müssen.	
883	18_135_2015-11-11	Das Bundesamt hat die Marke von einer Viertelmillion Asylanträge im Stau längst überschritten.	
884	18_135_2015-11-11	Die Integrationsleistung für die, die hierbleiben werden, wird hoch sein.	
885	18_135_2015-11-11	Die Beschlüsse von Ende September mit den Ministerpräsidenten, das erste große Asylpaket, die finanziellen Hilfen für die Länder und Kommunen und die Beschlüsse der Koalition vom letzten Donnerstag, all das waren wichtige Schritte.	
886	18_135_2015-11-11	Als vor gut einem Jahr die Asylbewerberzahlen deutlichen anstiegen, war uns natürlich wichtig, die Asylverfahren zu beschleunigen.	
887	18_135_2015-11-11	November 201513206  (A) (C)  (B) (D)  aus Syrien wurde das erreicht, indem wir als Innenministerium Anfang November 2014 auf die Anhörung im Asylverfahren verzichtet und damit auf ein schriftliches Verfahren umgestellt haben.	
888	18_135_2015-11-11	Sie war richtig, weil in 77 Prozent der 2014 getroffenen Entscheidungen ohnehin ein Asyl oder Flüchtlingsschutz gewährt worden war.	
889	18_135_2015-11-11	Nur 12 Prozent der syrischen Asylbewerber hatten diesen subsidiären Schutz erhalten.	
890	18_135_2015-11-11	Oft beruht die Erfassung der Staatsangehörigkeiten nur auf Angaben der Asylsuchenden selbst, insbesondere dann, wenn keine Identitätsdokumente vorgelegt worden sind.	
891	18_135_2015-11-11	Deshalb haben wir im Innenministerium – wie damals in die eine Richtung, jetzt in die andere Richtung – eine Entscheidung getroffen, nämlich für eine Rückkehr zur Einzelfallprüfung, für eine Rückkehr zum regulären Verfahren, das eine mündliche Anhörung wie im Asylgesetz vorsieht.	
892	18_135_2015-11-11	Wir verfolgen damit das Ziel, wieder zu geordneten Verfahren bei der Einreise und bei Asylverfahren zurückzukehren.	
893	18_135_2015-11-11	Zu einem geordneten Verfahren gehört auch das Dublin-Verfahren, und zwar mit der Feststellung des zuständigen Mitgliedstaates, der Prüfung aller Aspekte für einen möglichen Selbsteintritt Deutschlands in das Asylverfahren und, wenn die Voraussetzungen vorliegen, der Rücküberstellung in den zuständigen Mitgliedstaat.	
894	18_135_2015-11-11	Man kann sich das Asylrecht nicht einfach hinbiegen, nur weil mehr Menschen zu uns kommen.	
895	18_135_2015-11-11	Das führt zum genauen Gegenteil von schnell durchgeführten Asylverfahren.	
896	18_135_2015-11-11	Kolleginnen und Kollegen von der SPD, Ihre Familienministerin hat gestern zu Recht gefordert, dass wir in der Asyldebatte nicht jeden Tag eine neue Sau durchs Dorf treiben sollen.	
897	18_135_2015-11-11	Wir brauchen eine gute Integrationspolitik, eine Politik, die die Flüchtlinge aufnimmt, die für ein gutes Gesundheitswesen und dafür sorgt, dass Kinder in die Schule gehen können, und nicht die ständige Ankündigung und Durchsetzung neuer Repressionen.	
898	18_135_2015-11-11	Wir haben im Koalitionsvertrag – zwei Jahre ist er alt – festgehalten, dass das Asylverfahren drei Monate dauern soll.	
899	18_135_2015-11-11	Sie erhalten die gleichen sozialen Leistungen, dieselben Arbeits- und Integrationsmöglichkeiten.	
