	Term_NDoc_Date	Sentence	Frame
950	18_138_2015-11-24	Sie haben, bezogen auf das Anwachsen der Flüchtlingszahl, die Erwartung eines ganz anderen Integrationsbedarfes.	
951	18_138_2015-11-24	Was heißt denn erfolgreiche Integration, Spracherwerb, Bildung, Integration in den Arbeitsmarkt?	
952	18_138_2015-11-24	Wir sind nicht nur dabei, der Einwanderungsströme in irgendeiner Art und Weise, auch mit finanziellen Mitteln, Herr zu werden und eine vernünftige Finanzausstattung zu gewährleisten, sondern wir investieren auch in innere Sicherheit.	
953	18_138_2015-11-24	Wir nehmen in unserem Land Einwanderer und Flüchtlinge auf.	
954	18_138_2015-11-24	Damit meine ich nicht, dass wir irgendwo kürzen sollten, sondern ich meine, dass wir anfangen sollten, jeden Euro effektiver und effizienter auszugeben, damit wir für jeden Euro mehr Autobahn bekommen, damit wir für jeden Euro, den wir in das System stecken, eine bessere Integration der Langzeitarbeitslosen bekommen, damit wir mit jedem Euro, den wir investieren, mehr gegen den Klimawandel und für die Energiewende tun und, und, und.	
955	18_138_2015-11-24	Die Kosten für die Unterbringung und Integration der Flüchtlinge als fundamentale Aufgabe sind hier zu nennen.	
956	18_138_2015-11-24	Es ist ebenso richtig und wichtig, dass diese Mittel vollständig bei denen ankommen, für die wir sie aus dem Bundeshaushalt bereitstellen, nämlich bei den Asylbewerberinnen und Asylbewerbern vor Ort.	
957	18_138_2015-11-24	Sprache ist ein Schlüssel zur erfolgreichen Integration.	
958	18_138_2015-11-24	Wir  tun mehr für die Integration und auch mehr für die soziale Absicherung.	
959	18_138_2015-11-24	Dieser Bundeshaushalt ist aber nicht nur durch die hohen Flüchtlings- und Zuwanderungszahlen gekennzeichnet.	
960	18_138_2015-11-24	Die Asyl- und Flüchtlingskrise war in den Haushaltsberatungen der vergangenen Wochen stets Thema.	
961	18_138_2015-11-24	In einem ersten Schritt haben wir neulich mit dem Asylpaket nichts weniger als die größte Reform des Asylrechts seit den 90er-Jahren auf den Weg gebracht – ein Erfolg, der noch im Sommer dieses Jahres undenkbar erschien.	
962	18_138_2015-11-24	So nachvollziehbar der Wunsch nach einem besseren Leben ist, so richtig ist auch, dass Armut kein Asylgrund ist und dies auch nicht sein kann.	
963	18_138_2015-11-24	Alle Experten in diesen Fachgesprächen waren sich darin einig, dass alle unsere Probleme hausgemacht sind und auch ohne die Zuwanderung von Flüchtlingen und Asylbewerbern lange vorhanden waren.	
964	18_138_2015-11-24	Von den vielen Zuwanderern, die auch wohnen müssen und wohnen sollen, rede ich hier noch gar nicht.	
965	18_138_2015-11-24	Denken wir nämlich an die Bekämpfung von Fluchtursachen, dürfen wir den Klimaschutz nicht aus dem Auge verlieren.	
966	18_138_2015-11-24	In meinem Wahlkreis wurden in den ersten neun Monaten dieses Jahres trotz eines hohen Anteils von Flüchtlingen aus dem Balkan gerade einmal 14 Abschiebungen durchgeführt.	
967	18_138_2015-11-24	Der Platz wird für die nach dem Asylrecht hilfebedürftigen Bürgerkriegsflüchtlinge gebraucht.	
968	18_138_2015-11-24	Die Großstädte, Universitätsstädte und Ballungsräume erleben einen boomenden Zuzug.	
969	18_138_2015-11-24	Dieser wird in den kommenden Jahren noch weiter anwachsen, wenn neben vielen anderen eine bezahlbare Wohnung Suchenden auch viele Flüchtlinge und Asylbewerber mit Bleiberecht eine Wohnung suchen werden.	
970	18_138_2015-11-24	Mit der deutlichen Aufstockung der Mittel für die Städtebauförderung und das Programm „Soziale Stadt“ in dieser Legislaturperiode unterstützen wir den sozialen Zusammenhalt, die Nachbarschaften und die Integration in den Quartieren, und zwar für alle dort Lebenden.	
971	18_138_2015-11-24	Mit dem Programm „Bildung, Wirtschaft, Arbeit im Quartier“, BIWAQ, haben wir bereits ein Programm, das den sozialen Zusammenhalt und die Integration in den „Soziale Stadt“-Gebieten fördert.	
972	18_138_2015-11-24	Ich will zu den großen Herausforderungen oder auch Krisen kommen: erstens die Klimakrise, zweitens das Artensterben und drittens das Thema Fluchtursachen.	
973	18_138_2015-11-24	Dass die deutsche Politik mit ihren begrenzten Ressourcen dabei auf vielen Kontinenten ansetzen muss, zeigt allein der Blick auf die Statistik der Herkunftsländer der Asylbewerber in Deutschland.	
974	18_138_2015-11-24	Es geht aktuell aber nicht nur darum, den grundsätzlichen Bedarf an Wohnungen, sondern insbesondere auch den zusätzlichen Bedarf, bedingt durch den Zuzug von Flüchtlingen, zu decken.	
975	18_138_2015-11-24	Schrumpfende Regionen könnten vom Zuzug durch Flüchtlinge profitieren.	
976	18_138_2015-11-24	Für uns ging es jetzt zunächst in einem ersten Schritt darum, möglichst schnell bauen zu können, was wir auch mit dem Asylverfahrensbeschleunigungsgesetz ermöglicht haben.	
977	18_138_2015-11-24	Es geht um Integration, darum, dass die, die nur in barrierefreien oder barrierearmen Wohnungen in ihrem Lebensumfeld bleiben können, die Chance dazu haben.	
978	18_138_2015-11-24	Es geht darum, dass wir Ausgrenzung entgegenwirken sowie Integration und friedliches Zusammenleben ermöglichen.	
