	Term_NDoc_Date	Sentence	Frame
550	18_121_2015-09-10	Klar muss aber auch sein, dass niemandem Asyl gewährt wird, der aus rein wirtschaftlichen Gründen hierherkommt, so sehr das in jedem Einzelfall verständlich und nachvollziehbar ist.	
551	18_121_2015-09-10	Die Akzeptanz unseres Asylrechts hängt davon ab, dass wir das Asylrecht ordnungsgemäß anwenden, auch wenn das Asylverfahren nicht das erhoffte Ergebnis bringt.	
552	18_121_2015-09-10	Nur wenn Recht und Gesetz konsequent angewendet werden, werden die Solidarität der großen Mehrheit der Bürgerinnen und Bürger dieses Landes anhalten und auch die eine oder andere Angst, das eine oder andere Unbehagen beim Thema Zuwanderung verschwinden.	
553	18_121_2015-09-10	Das ist auch wichtig, weil Deutschland auf gezielte und qualifizierte Einwanderer angewiesen ist.	
554	18_121_2015-09-10	Sprache und Arbeit sind die beiden zentralen Elemente für Integration.	
555	18_121_2015-09-10	Deshalb bin ich froh, dass schon angekündigt ist – das werden wir dann beim Nachtragshaushalt noch einmal intensiv beraten –, dass wir die Sprachkurse ausweiten und die Integrationskurse deutlich aufstocken.	
556	18_121_2015-09-10	Wir öffnen die Integrationskurse für Asylbewerber und Geduldete.	
557	18_121_2015-09-10	Die notwendige Integration derer, die bleiben dürfen, wird zur gesamtgesellschaftlichen Herausforderung, und diese Herkulesaufgabe dürfen  Kerstin Griese  Deutscher Bundestag – 18.	
558	18_121_2015-09-10	Die Integration in den Arbeitsmarkt ist insbesondere aufgrund der Sprachbarriere schwierig, zumal der Mindestlohn ja auch erwirtschaftet werden muss.	
559	18_121_2015-09-10	Sie brauchen Sprachkurse, und sie brauchen eine betriebliche Einstiegsqualifizierung.	
560	18_121_2015-09-10	Eine zusätzliche Flexibilität der Arbeitsagenturen kann da nur nützen, die Integration in den Arbeitsmarkt zielgerichtet zu fördern.	
561	18_121_2015-09-10	Eine davon ist beispielsweise: Zuwanderung verdrängt deutsche Arbeitnehmer.	
562	18_121_2015-09-10	Bislang konnten wir das teilweise durch die höhere Erwerbstätigkeit von Frauen und Älteren und vor allem durch Zuwanderung aus anderen EU-Ländern ausgleichen.	
563	18_121_2015-09-10	Wir besetzen auch weniger attraktive Arbeitsplätze mit Zuwanderern.	
564	18_121_2015-09-10	Auch die Betreiber von Dönerbuden, die von frühmorgens bis spätabends Döner und Sonstiges verkaufen und vielfältige Integrationsdienste für weniger leistungsfähige Hartz-IV-Bezieher leisten, sind zumeist Zuwanderer.	
565	18_121_2015-09-10	Dass die Grünen die Gesundheitsleistungen für Asylbewerber nicht mehr über Steuern finanzieren wollen, sondern dass das Geld von den Pflicht Axel E. Fischer (Karlsruhe-Land)  Deutscher Bundestag – 18.	
566	18_121_2015-09-10	Wenn in Länder exportiert wird, zum Beispiel in Westafrika, in denen die Kleinbauern schon heute ihre Existenzgrundlage durch die Dumpingkonkurrenz aus dem Ausland verlieren, dann wird dieser Export dort zu noch mehr Armut und Hunger führen – Stichwort „Fluchtursachen“.	
567	18_121_2015-09-10	Dadurch hätten Sie die Chance, auch kranken Kindern und Flüchtlingskindern eine Integration zu ermöglichen.	
568	18_121_2015-09-10	Vielleicht sind die Zuwanderer eine Chance.	
569	18_121_2015-09-10	Deshalb wird es ein Bundesfreiwilligendienst sein, der auch der Integration dienen wird.	
570	18_121_2015-09-10	Unterbringung, Versorgung und Integration sind das eine, aber Menschen finden erst dann hier eine neue Heimat, wenn sie mit Einheimischen zusammenkommen.	
571	18_121_2015-09-10	Sehr geehrte Damen und Herren Abgeordnete, in diesen Tagen wird viel davon gesprochen, dass Integration wichtig ist.	
572	18_121_2015-09-10	Mir ist es wichtig, darauf hinzuweisen, dass Integration nicht erst am Arbeitsmarkt beginnt.	
573	18_121_2015-09-10	Das ist der Schlüssel für Integration.	
574	18_121_2015-09-10	Damals debattierten wir in einem politischen Kontext, der noch geprägt war von den Morden des NSU und den Empfehlungen des NSU-Untersuchungsausschusses, mehr Geld gegen Rassismus und gegen Fremdenfeindlichkeit in die Hand zu nehmen.	
575	18_121_2015-09-10	In meinem Wahlkreis habe ich erlebt, dass Menschen schon seit Monaten aktiv bei der Integration der Flüchtlinge in ein für sie komplett fremdes Land und in einen neuen Alltag helfen.	
576	18_121_2015-09-10	Wir setzen das Programm „Schwerpunkt-Kitas Sprache & Integration“ fort.	
577	18_121_2015-09-10	So wünschen wir uns auch mehr professionelle Pflegende mit Migrationshintergrund.	
578	18_121_2015-09-10	Wir brauchen einen Einstieg des Bundes in die Finanzierung, um Unterbringung und Integration zu ermöglichen bzw.	
579	18_121_2015-09-10	Sie haben viel zur Integration gesagt.	
580	18_121_2015-09-10	Das wäre eine Integrationsmaßnahme.	
581	18_121_2015-09-10	Sie haben viel von Integration geredet.	
582	18_121_2015-09-10	Von uns wurden schon wichtige Themen angesprochen: Sprache, Integration, „Frühe Chancen“.	
583	18_121_2015-09-10	Wir haben weiterhin Maßnahmen im Bereich der Integration von Sprachförderung über das Programm „Schwerpunkt-Kitas Sprache & Integration“.	
584	18_121_2015-09-10	Integration bedeutet nicht nur, dass ein paar hinzukommen.	
