	Term_NDoc_Date	Sentence	Frame
800	18_128_2015-10-02	Ob Spracherwerb, der Aufbau sozialer Netzwerke oder die berufliche Ausbildung: Bildung ist ein zentraler Baustein für Integration.	
801	18_128_2015-10-02	Kolleginnen und Kollegen, die Integration der Geflüchteten ist eine Chance für unser Bildungssystem.	
802	18_128_2015-10-02	Es gibt viele Unternehmer, die Asylsuchende einstellen oder ausbilden wollen.	
803	18_128_2015-10-02	Nicht jeder Asylsuchende hat bereits eine Ausbildung oder ein Studium abgeschlossen, zum Beispiel weil ein Großteil noch sehr jung ist.	
804	18_128_2015-10-02	Das widerspricht nicht nur unserer persönlichen politischen Ethik, darüber hinaus ist Integration auch ganz einfach in unserem eigenen Interesse, wenn wir weiterhin als Nation stark und wettbewerbsfähig sein wollen.	
805	18_128_2015-10-02	Wir sind ein Einwanderungsland.	
806	18_128_2015-10-02	Sprachkurse und Beratungsangebote – eine Situation, die übrigens in den meisten Ländern der Welt bis heute so ist.	
807	18_128_2015-10-02	Es war die unionsgeführte Bundesregierung, die Integrationspolitik maßgeblich konzeptionell entwickelt hat.	
808	18_128_2015-10-02	Bereits seit vielen Jahren setzt die unionsgeführte Bundesregierung bei der Integration auf den Bildungsbereich.	
809	18_128_2015-10-02	Vielleicht können Sie von den Zuwanderern in Landeskunde schon sehr bald lernen, ich sehe da durchaus Bedarf.	
810	18_128_2015-10-02	Erstens wird in beiden Anträgen für junge Geflüchtete und Geduldete der Schutz vor Abschiebung in der Ausbildung gefordert.	
811	18_128_2015-10-02	August 2015 wurde für jugendliche und heranwachsende Geduldete, die eine qualifizierte Berufsausbildung aufnehmen, für die Dauer der Ausbildung ein Schutz vor Abschiebung erreicht.	
812	18_128_2015-10-02	Nach drei Monaten sollen nach Ihren Vorschlägen faktisch alle Asylberechtigten BAföG bekommen können.	
813	18_128_2015-10-02	Welchen Sinn macht es, dass gegebenenfalls Menschen BAföG erhalten, die mit hoher Wahrscheinlichkeit wieder ausgewiesen werden?	
814	18_128_2015-10-02	August 2015 eine Änderung beschlossen, mit der jungen Asylsuchenden und Geduldeten, die gute Bleibeperspektiven haben, der Zugang unter anderem zu berufsorientierenden und studienbegleitenden Praktika erleichtert wird.	
815	18_128_2015-10-02	Die bewährten Integrationskurse werden für Asylbewerber mit guter Bleibeperspektive geöffnet, und die hierfür vorgesehenen Mittel werden entsprechend dem gestiegenen Bedarf aufgestockt.	
816	18_128_2015-10-02	Es geht darum, Sprach- und Integrationskurse weiterhin zu betreiben.	
817	18_128_2015-10-02	Sprache ist aber auch ein Schlüssel für gelungene Integration.	
818	18_128_2015-10-02	Wie Sie wissen, wurde jahrelang gesagt – ich habe das persönlich zu spüren bekommen –, dieses Land sei kein Einwanderungsland.	
819	18_129_2015-10-14	In New York haben wir darüber diskutiert, welche Instrumente die VN eigentlich zur Verfügung haben, um Fluchtursachen zu bekämpfen und zur besseren Lastenteilung beizutragen.	
820	18_129_2015-10-14	Zu Recht haben kritische Stimmen angemerkt, dass der Einsatz gegen Schlepper auf dem Mittelmeer nicht weit genug geht.	
821	18_129_2015-10-14	Mit einer Einigung mit Libyen bestünde die Möglichkeit, die Mission von internationalen Gewässern auf die libysche Küste auszuweiten und die Schlepper, die aus dem Schicksal der Flüchtlinge ein Geschäft machen, noch effektiver zu bekämpfen.	
822	18_129_2015-10-14	Halten Sie das nicht für eine Entscheidung, die die schnelle Integration durch Qualifizierung und Arbeit eher konterkariert als fördert?	
823	18_129_2015-10-14	Aber Flüchtlingspolitik, die auf eine Bekämpfung von Fluchtursachen zielt, kann doch nicht in der Absicherung und Abschottung einer Grenze in Zusammenarbeit mit dem türkischen Militär bestehen, auch nicht in dem Vorhaben, die Türkei zum  Staatsminister Michael Roth  Deutscher Bundestag – 18.	
824	18_129_2015-10-14	Wenn wir jetzt mit der Türkei über die Flüchtlingskrise, die Eindämmung von Fluchtursachen und gemeinsame Strategien im Syrien-Konflikt verhandeln, dann müssen wir das mit Respekt und auf Augenhöhe tun, aber wir müssen uns auch fragen lassen, wer eigentlich die legitimen Ansprechpartner sind.	
825	18_129_2015-10-14	November in den Wahlkampf der Türkei – und dann auch noch auf der falschen Seite, nämlich bei denen, die die personifizierte Fluchtursache sind – eingreifen.	
826	18_129_2015-10-14	Dann würden Sie gerade in der Flüchtlings- und Einwanderungsfrage in Deutschland zu differenzierteren Erkenntnissen kommen, Herr Özdemir.	
827	18_129_2015-10-14	Über diesen Demokratiegedanken sollten Sie einmal nachdenken, bevor Sie eine Einwanderungspolitik betreiben, die jedermann Tür und Tor öffnet und nach dem Mund redet.	
828	18_129_2015-10-14	Die Gefährdung der Demokratie in Deutschland durch die Einwanderungspolitik der Grünen ist für uns Grund zur Sorge.	
829	18_129_2015-10-14	Die Türkei als Transitland ist ein wichtiger Akteur in der Region.	
830	18_129_2015-10-14	Die EU-Aufnahmerichtlinie 2003/9/EG wurde in Deutschland in innerstaatliches Recht umgesetzt und ist von Ländern und Kommunen bei der Unterbringung von Asylsuchenden zu beachten.	
831	18_129_2015-10-14	Die Richtlinie legt in Artikel 14 fest, dass Asylsuchende in geeigneten Räumlichkeiten untergebracht werden, die unter anderem den Schutz des Familienlebens gewährleisten, dass in Unterbringungszentren dafür Sorge getragen wird, dass Gewalt verhütet wird, und dass das dort eingesetzte Personal angemessen geschult ist.	
832	18_129_2015-10-14	Auf Basis welcher Datenlage kann die Bundesregierung nach ihrer Kenntnis bestätigen, es sei „eher noch untertrieben”, dass 30 Prozent der syrischen Asylsuchenden in Wahrheit keine syrischen Staatsangehörigen seien, obwohl es keinerlei belastbare Zahlen zur größenmäßigen Einschätzung hierzu gibt (Fernsehmagazin Panorama vom 9.	
833	18_129_2015-10-14	Hinweise, die darauf schließen lassen, dass Migranten aus anderen Ländern zunehmend angeben, syrische Staatsangehörige zu sein, ergeben sich beispielsweise aus Lageerkenntnissen von FRONTEX.	
834	18_129_2015-10-14	Anteil nicht schutzbedürftiger Asylsuchender und dem Anstieg der Straftaten gegen Asylbewerberheime vor.	
835	18_129_2015-10-14	Gewalt gegen Asylsuchende ist unter allen Umständen zu verurteilen.	
836	18_129_2015-10-14	Oktober 2015: „Seehofer: Flüchtlinge sollen an der Grenze zurückgewiesen werden”), per Beschluss des bayerischen Kabinetts „Maßnahmen der Notwehr” ergreifen zu wollen, etwa Asylsuchende an der Grenze zu Österreich zurückzuweisen bzw.	
837	18_129_2015-10-14	Schengener Grenzkodex, die Europäische Menschenrechtskonvention, die Dublin-Verordnung, EU-Asylrichtlinien, die Zuständigkeit für den Grenzschutz usw.)?	
838	18_129_2015-10-14	Oktober 2015 (vergleiche Council of the EU, Press Release 711/15, Punkt 17) umzusetzen, in Drittstaaten sichere und tragfähige Aufnahmekapazitäten zu schaffen, auch um Asylanträge von Flüchtlingen von dort nach Artikel 33 der EU-Asylverfahrensrichtlinie 2013/32/EU als unzulässig einstufen und die Betroffenen dorthin ohne vorherige Asylprüfung zurückschicken zu können, und wie sieht die Bundesregierung die Realisierungschancen konkret in Bezug auf die Türkei vor dem Hintergrund, dass nach Artikel 38 der Asylverfahrensrichtlinie unter anderem gefordert wird, dass es in dem betreffenden Drittstaat möglich sein muss, Schutz nach der Genfer Flüchtlingskonvention (GFK) zu erhalten, was in der Türkei wegen des regionalen Vorbehalts zur GFK nur für europäische Flüchtlinge möglich ist (bitte ausführlich darlegen)?	
839	18_129_2015-10-14	Rückkehrpolitik ist integraler Bestandteil und wichtiges Steuerungsinstrument der Migrationspolitik.	
840	18_129_2015-10-14	In diesem Zusammenhang ist auch die in den oben genannten Ratsschlussfolgerungen vorgesehene Prüfung durch die EU zu sehen, ob es möglich ist, in Regionen in unter Migrationsdruck stehenden Drittstaaten sichere und dauerhafte Aufnahmekapazitäten zu schaffen und Flüchtlingen und ihren Familien langfristige Perspektiven und angemessene Verfahren zu bieten, bis sie in ihre Herkunftsländer zurückkehren können.	
