	Term_NDoc_Date	Sentence	Frame
500	18_121_2015-09-10	Flüchtlinge, Asylbewerber.	
501	18_121_2015-09-10	Damit hat er, wenn er lange hier bleiben kann, natürlich die beste Chance zur Integration.	
502	18_121_2015-09-10	Das gilt leider auch für vieles andere, zum Beispiel für die Frage, ob wir mit Bundeshilfen Sozialarbeit, Sprachklassen und Integrationshilfen auf den Weg bringen können.	
503	18_121_2015-09-10	Sie sollten das Geld – dieses Beispiel haben Sie selber genannt – in die Qualifizierung von Migrantinnen und Migranten sowie Flüchtlingen investieren.	
504	18_121_2015-09-10	In meiner Heimatstadt Magdeburg wurde die Aufnahme von Kindern aus Flüchtlings- und Zuwandererfamilien bisher auf wenige Schulen konzentriert.	
505	18_121_2015-09-10	Sollten wir einen neuen Schwerpunkt auf Migrations- und Integrationsforschung legen, die uns gesellschaftlich helfen kann bei der Bewältigung der anstehenden Fragen?	
506	18_121_2015-09-10	Ihren positiven Asylbescheid hat sie nach neun Monaten und zwei Wochen erhalten.	
507	18_121_2015-09-10	Doch welcher Arbeitgeber stellt sie ein, wenn jederzeit die Abschiebung droht?	
508	18_121_2015-09-10	Integration durch Bildung ist die größte Chance und Herausforderung dieses Jahrzehnts, und da kann der Bund helfen.	
509	18_121_2015-09-10	Jetzt sind wir Parlamentarier an der Reihe, um Ihren bisweilen ideenlosen Entwurf zu überarbeiten, damit aus unserem Einwanderungsland ein Land der Chancen wird und damit es für alle in Deutschland innovativer und gerechter zugeht.	
510	18_121_2015-09-10	Notwendig sind aber auch Flexibilisierung beim und schnellerer Zugang zum BAföG, ein Abschiebestopp während der Ausbildung, die Anerkennung ausländischer Qualifikationen sowie Sprachkurse und frühkindliche Bildung.	
511	18_121_2015-09-10	Lange Asylverfahren und die Abhängigkeit von staatlicher Hilfe – das ist für die betroffenen Menschen frustrierend, und es ist die schlechteste Lösung für unser Gemeinwesen, übrigens auch für die öffentlichen Kassen.	
512	18_121_2015-09-10	Wie viel genau, das hängt von vielen Variablen ab – je nachdem, wie viele Menschen wirklich einen Asylantrag stellen, wie viele Anträge dann anerkannt werden und wie viele Familienangehörige nachziehen.	
513	18_121_2015-09-10	Was die Menschen in den Integrationskursen lernen, reicht aber oft nicht, um auf dem Arbeitsmarkt Fuß zu fassen.	
