	Term_NDoc_Date	Sentence	Frame
750	18_127_2015-10-01	Der Übergang zu Phase 2 i) bedeutet nun, nach der Informa­ tionsgewinnung gezielt gegen die Schlepper vorzugehen.	x
751	18_127_2015-10-01	Schlepperboote können auf hoher See aufgebracht und beschlagnahmt werden.	x
752	18_127_2015-10-01	Es liegt auch im Interesse der Flüchtlinge und von uns allen, damit die­ se lebensgefährlichen Schlepperfahrten ihre Ausgangs­ basis verlieren.	2.4
753	18_127_2015-10-01	Zum einen geht es um die Bewältigung ihrer Auswirkungen hier bei uns, zum anderen um die Bekämpfung der Fluchtursachen.	4.1
754	18_127_2015-10-01	Daneben geht es aber auch – das sollten wir nicht verges­ sen – um die Situation in den Transitländern, und damit geht es darum, wie wir den Schleppern ihre menschen­ verachtende Arbeit unmöglich machen.	2.2
755	18_127_2015-10-01	Es geht dabei um eine vernetzte Gesamtstrategie, die sowohl die Herkunfts­ und Nachbarländer als auch die Schlepperorganisationen gezielt ins Visier nimmt.	x
756	18_127_2015-10-01	Es kann und darf nicht sein, dass zum Beispiel Schlepper vor den Augen unserer Einsatzkräfte ihre Boo­  te wieder einsammeln, um sie erneut mit Flüchtlingen vollzustopfen.	2.2
757	18_127_2015-10-01	Kultur dient auch der Integration.	x
758	18_127_2015-10-01	Kultur kann gerade im ländlichen Raum zur Integration von Flüchtlingen genutzt werden.	x
759	18_127_2015-10-01	Kolleginnen und Kollegen, Schlüsselfaktor kul­ tureller Integration ist die kulturelle Bildung.	x
760	18_127_2015-10-01	Bisher beschäf­ tigt sich aber lediglich eine von zehn Arbeitsgruppen des Strategiekongresses Demografie mit Einwanderung.	x
761	18_127_2015-10-01	Inte­ gration heißt auch, kulturelle Werte und Traditionen zu vermitteln, und zwar in beide Richtungen: von uns auf die Flüchtlinge und Migranten und von den Flüchtlingen und Migranten auf uns.	x
762	18_127_2015-10-01	Und, weil das Thema in den letzten Tagen aufgekommen ist: Wer glaubt, er könne beim Mindestlohn Migranten gegen andere Arbeitnehmer ausspielen, ist ein sozialer Brandstifter.	4.4
763	18_127_2015-10-01	Dies erfordert von der Völkergemeinschaft insbesondere die Bekämpfung von Fluchtursachen, die häufig in Kriegs-bzw.	2.1
764	18_127_2015-10-01	Aber auch für Flüchtlinge, die heute in ihrer akuten Not Hilfe bei Schlepperbanden suchen, brauchen wir Antworten – solange Fluchtursachen nicht wirksam be­ seitigt wurden.	2.1
765	18_127_2015-10-01	Ein Kampf gegen Schlepperbanden muss gleichziehen mit dem Einsatz zur Schaffung legaler Fluchtwege.	x
766	18_127_2015-10-01	Andernfalls wird an anderen Orten als unse­ ren Grenzen unser Asylrecht ausgehöhlt.	x
767	18_127_2015-10-01	Schlepperbanden unterscheiden sich von Fluchthel­ fern, indem sie den Tod von Hilfe suchenden Menschen ausnutzen, Leib und Leben dieser Menschen riskieren oder gar ihren Tod einkalkulieren.	2.4
768	18_127_2015-10-01	Schlepperbanden auch mit militä­ rischen Mitteln zu begegnen, halte ich mit Blick auf un­ sere humanitäre Schutzpflicht gegenüber den flüchtenden Menschen somit prinzipiell für opportun und notwendig.	x
769	18_127_2015-10-01	Ich begrüße es somit, wenn die Europäische Union Maßnahmen gegen Schlepperkriminalität ergreift und Menschenhandel sanktioniert.	x
770	18_127_2015-10-01	Nicht Sanktionen, bürokratische Zumutungen und Gängelung, sondern faire Spielre­ geln, Motivation und Bestärkung der Arbeitsuchenden müssen die Integrationsarbeit in den Jobcentern be­ stimmen.	1.1
771	18_128_2015-10-02	Die immensen Anstrengungen der Menschen in Ostdeutschland, die Solidarität der Bürger in Westdeutschland, die Integration eines vereinigten Deutschlands  Deutscher Bundestag – 18.	1.2
772	18_128_2015-10-02	Wir müssen deswegen Zuwanderung begrenzen.	x
773	18_128_2015-10-02	Danke, dass dieser Begriff der Leitkultur inzwischen auch von anderen Parteien dieses Hauses ganz selbstverständlich gebraucht wird.	x
774	18_128_2015-10-02	Oktober 201512436  (A) (C)  (B) (D)  Leitkultur, der Gültigkeit hat, nun auch zur Selbstverständlichkeit in anderen Parteien geworden ist.	x
775	18_128_2015-10-02	Zu den großen Erfolgen der deutschen Einheit gehört zweifellos die Integration Ostdeutschlands in die sozialen Sicherungssysteme der alten Bundesrepublik.	1.2
