	Term_NDoc_Date	Sentence	Frame
600	18_126_2015-09-30	Wir brauchen mehr Geld für Integrationskurse.	x
601	18_126_2015-09-30	Wie kann es sein, dass sich die Bundesregierung mit diesem maßgeblichen Urteil zu den Leistungen nach dem Asylbewerberleistungsgesetz nicht einmal auseinandersetzt?	x
602	18_126_2015-09-30	Wie wird beim Bundesamt und bei den entsprechenden Behörden sichergestellt, dass der Personenkreis, der in den entsprechenden Staaten nicht politisch, sondern wegen seiner ethnischen Herkunft oder seiner sexuellen Orientierung verfolgt wird und deswegen Zuflucht in der Bundesrepublik Deutschland sucht, ein entsprechendes ordnungsgemäßes Verfahren in der Bundesrepublik Deutschland erhält, politisches Asyl bekommt und nicht in die Heimatstaaten abgeschoben wird?	4.2
603	18_126_2015-09-30	Wir sind aber verpflichtet, zwei EU-Richtlinien umzusetzen: eine sogenannte Aufnahmerichtlinie und eine Asylverfahrensrichtlinie.	x
604	18_126_2015-09-30	Sie wollen  ja nicht nur im Vorhinein festlegen, wer eine Chance auf das Grundrecht auf Asyl hat, um entsprechend auszusortieren, sondern Sie wollen die Flüchtlinge auch länger in Erstaufnahmeeinrichtungen unterbringen.	4
605	18_126_2015-09-30	Das bedeutet aber erst einmal für alle eine sehr viel längere Zeit in großen Lagern – es sind eher kasernierte Unterbringungen –, was die Möglichkeiten der Integration für die Dauer dieses Aufenthalts völlig verhindert.	x
606	18_126_2015-09-30	Wie ist das mit beschleunigten Integrationsverfahren vereinbar?	x
607	18_126_2015-09-30	Für die Gruppe der Asylsuchenden, die länger als 15 Monate in Deutschland sind, sehen Sie jetzt dankenswerterweise die Möglichkeit einer besseren psychologischen Betreuung vor.	x
608	18_126_2015-09-30	Ferner wissen wir, dass die Integration dadurch beeinträchtigt wird und diese schwerwiegenden Erkrankungen durch den Aufenthalt in großen Einrichtungen massiv verstärkt werden können.	x
609	18_126_2015-09-30	Ich habe darüber auch mit Pro Asyl schon viel diskutiert.	x
