	Term_NDoc_Date	Sentence	Frame
200	18_110_2015-06-12	Diese wenigen Schritte sind Sie bisher überhaupt nicht gegangen, sondern haben nur ein Ziel und fragen sich immer: Wie können wir Schlepper bekämpfen?	x
201	18_110_2015-06-12	Die zweite Maßnahme – darüber haben wir heute schon gesprochen – ist eine verstärkte internationale Zusammenarbeit beim Vorgehen gegen Schlepper.	x
202	18_110_2015-06-12	Free Choice bedeutet, dass sich jeder Flüchtling den Mitgliedstaat aussuchen kann, in dem er seinen Asylantrag stellt.	x
203	18_110_2015-06-12	Ein völlig überladenes Schlepperboot mit Flüchtlingen an Bord kenterte auf seinem Weg von Libyen nach Italien.	2.4
204	18_110_2015-06-12	Bis zum Jahresende soll im afrikanischen Niger ein solches Aufnahmezentrum als Pilotprojekt eingerichtet werden.	x
205	18_110_2015-06-12	Der langfristige Schlüssel zum Erfolg liegt aber in der Beseitigung der Fluchtursachen.	2
206	18_110_2015-06-12	Auch wenn wir bei der Beseitigung der Fluchtursachen einen langen Atem brauchen werden, bin ich mir sicher, dass wir diese Aufgabe gemeinsam mit unseren europäischen Partnern erfolgreich bewältigen werden.	x
207	18_110_2015-06-12	Der UN-Flüchtlingskommissar hat die deutsche Asylpolitik als Vorbild für ganz Europa bezeichnet.	x
208	18_110_2015-06-12	Nur wenn wir die Fluchtursachen bekämpfen und nur wenn wir die Krisenstaaten stabilisieren, kann uns wirklich die Linderung von Leid gelingen.	2.1
209	18_110_2015-06-12	Wenn wir Frontex heute auflösen würden, dann würden wir nicht nur die Sicherheit der Menschen in Europa gefährden, sondern auch das Leben der Migranten auf dem Mittelmeer.	2.4
210	18_119_2015-09-08	Nicht selten werden auch diejenigen unter Druck gesetzt, die sich vor Ort um eine Willkommenskultur bemühen.	x
211	18_119_2015-09-08	Das Asylrecht ist und bleibt die unantastbare Selbstverpflichtung unserer Verfassung und unserer Geschichte, und die Menschenwürde gilt ausnahmslos für alle, die hier leben, unabhängig davon, wie lange sie hier sind und wie lange sie bleiben können.	1.1
212	18_119_2015-09-08	Asylbewerber sollen so lange in den Erstaufnahmeeinrichtungen bleiben, bis über ihren Antrag entschieden worden ist.	x
213	18_119_2015-09-08	Wir werden die Integrationskurse und die Programme zum Spracherwerb weiter ausbauen.	x
214	18_119_2015-09-08	Die Bundesanstalt für Immobilienaufgaben hat schon rund 190 Liegenschaften mit rund 38 000 Unterbringungsmöglichkeiten für Flüchtlinge und Asylsuchende zur Verfügung gestellt, und das mietzinsfrei.	x
215	18_119_2015-09-08	Das Bundesamt für Migration und Flüchtlinge erhält zur schnelleren Bearbeitung der Asylverfahren 2 000 zusätzliche Stellen.	x
216	18_119_2015-09-08	Für die Integrationskurse werden die Mittel entsprechend dem gestiegenen Bedarf erhöht.	x
217	18_119_2015-09-08	Damit können und sollen die Fluchtursachen in den wichtigsten Herkunftsländern zusätzlich bekämpft werden.	2
218	18_119_2015-09-08	Wir dürfen Flüchtlinge und Asylsuchende nicht nur unter Kostengesichtspunkten betrachten.	2
219	18_119_2015-09-08	Es ist richtig, jetzt die Debatte über eine stärkere europäische Integration zu führen, aber solange Mitgliedstaaten nicht in der Lage sind, europäische Regeln einzuhalten –  (Dr.	x
220	18_119_2015-09-08	Da der Bund die Länder und Kommunen bei der Bewältigung der gestiegenen Asylbewerberleistungen so massiv, wie es die Koalition beschlossen hat, unterstützt, ist der Streit darüber, wie die Mittel für die Betreuung unserer Kinder verwendet werden sollen, wirklich müßig.	x
221	18_119_2015-09-08	Mir ist nicht bekannt, dass die Kanzlerin und auch Sie, Herr Schäuble, Ihren Einfluss für eine moderne europäische Flüchtlings- und Asylpolitik mit der Hartnäckigkeit geltend gemacht haben, wie es bei den Griechenland-Hilfen der Fall war.	x
